rame,marche,gare_depart,depart,gare_arrivee,arrivee,vide_voyageur,type,axe,distance_km,materiel
81501,879327,CAS,10.1,AVV,10.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879328,AVV,10.15,CAS,10.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879332,AVV,11.15,AVI,11.233,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,EVI81503,AVI,9.967,AVG,10.05,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,EVO81503,AVG,10.866999999999999,AVI,10.95,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,879331,AVI,11.2,AVV,11.3,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,879336,AVV,11.633,AVI,11.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879335,AVI,11.65,AVV,11.75,False,MOVE,avignon – tgv – capentras,4.0,BGC
81502,879339,CAS,12.1,AVV,12.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879340,AVV,12.133,CAS,12.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879347,CAS,13.1,AVV,13.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879344,AVV,13.133,CAS,13.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,EVI81503,AVI,11.967,AVG,12.05,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,EVO81503,AVG,12.85,AVI,12.933,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,879343,AVI,13.183,AVV,13.283,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,879348,AVV,13.633,AVI,13.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879350,AVV,14.133,CAS,14.833,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879353,CAS,14.567,AVV,15.283,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,879351,AVI,14.65,AVV,14.733,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879357,CAS,15.1,AVV,15.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,879354,AVV,15.133,CAS,15.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879358,AVV,15.633,AVI,15.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,879361,CAS,16.1,AVV,16.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879362,AVV,16.133,CAS,16.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879364,AVI,16.583,CAS,17.05,False,MOVE,avignon – tgv – capentras,26.0,BGC
81504,EVI81504,AVV,7.683,AVG,7.766,True,MOVE,avignon – tgv – capentras,2.0,BGC
81504,EVO81504,AVG,16.3,AVV,16.383,True,MOVE,avignon – tgv – capentras,2.0,BGC
81504,879366,AVV,16.633,AVI,16.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879369,CAS,17.1,AVV,17.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,879370,AVV,17.133,CAS,17.833,False,MOVE,avignon – tgv – capentras,30.0,BGC
81504,879365,AVI,17.183,AVV,17.283,False,MOVE,avignon – tgv – capentras,4.0,BGC
81502,879371,CAS,17.55,AVV,18.283,False,MOVE,avignon – tgv – capentras,30.0,BGC
81504,879374,AVV,17.633,CAS,18.333,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,879375,CAS,18.1,AVV,18.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879378,AVV,18.133,CAS,18.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879382,AVV,18.633,AVI,18.717,False,MOVE,avignon – tgv – capentras,4.0,BGC
81501,879383,CAS,19.1,AVV,19.733,False,MOVE,avignon – tgv – capentras,30.0,BGC
81503,879386,AVV,19.133,CAS,19.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879379,AVI,19.183,AVV,19.283,False,MOVE,avignon – tgv – capentras,4.0,BGC
81502,879380,AVV,19.883,AVI,19.95,False,MOVE,avignon – tgv – capentras,4.0,BGC
81503,879391,CAS,20.1,AVV,20.85,False,MOVE,avignon – tgv – capentras,30.0,BGC
81501,879390,AVV,20.133,CAS,20.8,False,MOVE,avignon – tgv – capentras,30.0,BGC
81502,879387,AVI,20.183,AVV,20.283,False,MOVE,avignon – tgv – capentras,4.0,BGC
81502,879392,AVV,20.583,AVI,20.667,False,MOVE,avignon – tgv – capentras,4.0,BGC
81504,879395,CAS,20.967,AVI,21.467,False,MOVE,avignon – tgv – capentras,26.0,BGC
81501,879999,CAS,21.08,AVG,21.416,True,MOVE,avignon – tgv – capentras,28.0,BGC
81503,879394,AVV,21.133,AVI,21.217,False,MOVE,avignon – tgv – capentras,4.0,BGC
81502,EVS20.667,AVI,20.917,AVG,21.0,True,MOVE,avignon – tgv – capentras,2.0,BGC
81503,EVS21.217,AVI,21.467,AVG,21.549999999999997,True,MOVE,avignon – tgv – capentras,2.0,BGC
81504,EVS21.467,AVI,21.717,AVG,21.799999999999997,True,MOVE,avignon – tgv – capentras,2.0,BGC
81505,EVS9.283,AVV,9.533,AVG,9.616,True,MOVE,avignon – tgv – capentras,2.0,BGC
59001,EVM6.833MSC,MBC,6.5,MSC,6.583,True,MOVE,intervilles – marseille – lyon,2.0,R2N
59001,17700,MSC,6.833,LYD,10.667,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59002,EVM7.333LYD,LYG,7.0,LYD,7.083,True,MOVE,intervilles – marseille – lyon,1.0,R2N
59002,17701,LYD,7.333,MSC,11.217,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59001,EVI59001,LYD,10.917,LYG,11.0,True,MOVE,intervilles – marseille – lyon,1.0,R2N
59001,EVO59001,LYG,12.0,LYD,12.083,True,MOVE,intervilles – marseille – lyon,1.0,R2N
59001,17703,LYD,12.333,MSC,16.217,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59002,EVI59002,MSC,11.467,MBC,11.55,True,MOVE,intervilles – marseille – lyon,2.0,R2N
59002,EVO59002,MBC,12.549999999999999,MSC,12.633,True,MOVE,intervilles – marseille – lyon,2.0,R2N
59002,17702,MSC,12.883,LYD,16.667,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59001,17704,MSC,16.867,LYD,20.667,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59002,17705,LYD,17.333,MSC,21.183,False,MOVE,intervilles – marseille – lyon,351.0,R2N
59001,EVS20.667,LYD,20.917,LYG,21.0,True,MOVE,intervilles – marseille – lyon,1.0,R2N
59002,EVS21.183,MSC,21.433,MBC,21.516,True,MOVE,intervilles – marseille – lyon,2.0,R2N
81506,EVM5.683AXP,AXG,5.35,AXP,5.433,True,MOVE,marseille – aix – en – provence,0.4,BGC
81506,740014,AXP,5.683,MEK,6.083,False,MOVE,marseille – aix – en – provence,33.0,BGC
81507,EVM6.183AXP,AXG,5.85,AXP,5.933,True,MOVE,marseille – aix – en – provence,0.4,BGC
81507,880654,AXP,6.183,MEK,6.683,False,MOVE,marseille – aix – en – provence,33.0,BGC
81508,EVM6.383AXP,AXG,6.05,AXP,6.133,True,MOVE,marseille – aix – en – provence,0.4,BGC
81508,880107,AXP,6.383,MSC,7.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,EVM6.383AXP,AXG,6.05,AXP,6.133,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,880107,AXP,6.383,MSC,7.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880655,MEK,6.383,MSC,7.617,False,MOVE,marseille – aix – en – provence,68.0,BGC
81510,EVM6.383MSC,MBC,6.05,MSC,6.133,True,MOVE,marseille – aix – en – provence,2.0,BGC
81510,880104,MSC,6.383,AXP,7.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81511,EVM6.683AXP,AXG,6.35,AXP,6.433,True,MOVE,marseille – aix – en – provence,0.4,BGC
81511,880109,AXP,6.683,MSC,7.317,False,MOVE,marseille – aix – en – provence,36.0,BGC
81512,EVM6.883MSC,MBC,6.55,MSC,6.633,True,MOVE,marseille – aix – en – provence,2.0,BGC
81512,880108,MSC,6.883,AXP,7.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81513,EVM7.183MSC,MBC,6.85,MSC,6.933,True,MOVE,marseille – aix – en – provence,2.0,BGC
81513,880110,MSC,7.183,AXP,7.85,False,MOVE,marseille – aix – en – provence,36.0,BGC
81510,880113,AXP,7.367,MSC,8.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81514,EVM7.367AXP,AXG,7.034,AXP,7.117,True,MOVE,marseille – aix – en – provence,0.4,BGC
81514,880113,AXP,7.367,MSC,8.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880657,MEK,7.383,MSC,8.617,False,MOVE,marseille – aix – en – provence,68.0,BGC
81515,880657,MEK,7.383,MSC,8.617,False,MOVE,marseille – aix – en – provence,68.0,BGC
81508,880112,MSC,7.383,AXP,8.15,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880116,MSC,7.883,AXP,8.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880115,AXP,8.383,MSC,9.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,EVI81509,MSC,7.367,MBC,7.45,True,MOVE,marseille – aix – en – provence,2.0,BGC
81509,EVO81509,MBC,8.049999999999999,MSC,8.133,True,MOVE,marseille – aix – en – provence,2.0,BGC
81509,880120,MSC,8.383,AXP,9.15,False,MOVE,marseille – aix – en – provence,36.0,BGC
81512,880999,AXP,8.5,MBC,9.0,True,MOVE,marseille – aix – en – provence,38.0,BGC
81507,880122,MSC,8.883,AXP,9.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880119,AXP,8.883,MSC,9.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880126,MSC,9.383,AXP,10.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880123,AXP,9.883,MSC,10.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880131,AXP,11.383,MSC,12.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,EVI81506,MSC,9.867,MBC,9.950000000000001,True,MOVE,marseille – aix – en – provence,2.0,BGC
81506,EVO81506,MBC,11.049999999999999,MSC,11.133,True,MOVE,marseille – aix – en – provence,2.0,BGC
81506,880136,MSC,11.383,AXP,12.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,EVI81509,AXP,9.4,AXG,9.483,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,EVO81509,AXG,11.549999999999999,AXP,11.633,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,880135,AXP,11.883,MSC,12.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,EVI81507,MSC,10.867,MBC,10.950000000000001,True,MOVE,marseille – aix – en – provence,2.0,BGC
81507,EVO81507,MBC,11.549999999999999,MSC,11.633,True,MOVE,marseille – aix – en – provence,2.0,BGC
81507,880138,MSC,11.883,AXP,12.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880666,MSC,12.383,MEK,13.617,False,MOVE,marseille – aix – en – provence,68.0,BGC
81506,880141,AXP,12.883,MSC,13.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,880142,MSC,12.883,AXP,13.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880149,AXP,13.883,MSC,14.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880152,MSC,13.883,AXP,14.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880671,MEK,14.383,MSC,15.617,False,MOVE,marseille – aix – en – provence,68.0,BGC
81507,880154,MSC,14.883,AXP,15.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880158,MSC,15.883,AXP,16.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880163,AXP,15.883,MSC,16.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81510,EVI81510,MSC,8.367,MBC,8.450000000000001,True,MOVE,marseille – aix – en – provence,2.0,BGC
81510,EVO81510,MBC,15.549999999999999,MSC,15.633,True,MOVE,marseille – aix – en – provence,2.0,BGC
81510,880158,MSC,15.883,AXP,16.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880165,AXP,16.367,MSC,17.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81511,EVI81511,MSC,7.567,MBC,7.65,True,MOVE,marseille – aix – en – provence,2.0,BGC
81511,EVO81511,MBC,16.05,MSC,16.133,True,MOVE,marseille – aix – en – provence,2.0,BGC
81511,880162,MSC,16.383,AXP,17.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81514,EVI81514,MSC,8.367,MBC,8.450000000000001,True,MOVE,marseille – aix – en – provence,2.0,BGC
81514,EVO81514,MBC,16.05,MSC,16.133,True,MOVE,marseille – aix – en – provence,2.0,BGC
81514,880162,MSC,16.383,AXP,17.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880164,MSC,16.883,AXP,17.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880167,AXP,16.883,MSC,17.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,EVI81509,AXP,13.883,AXG,13.966,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,EVO81509,AXG,16.834000000000003,AXP,16.917,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,880169,AXP,17.167,MSC,17.817,False,MOVE,marseille – aix – en – provence,36.0,BGC
81515,EVI81515,MSC,8.867,MBC,8.950000000000001,True,MOVE,marseille – aix – en – provence,2.0,BGC
81515,EVO81515,MBC,16.85,MSC,16.933,True,MOVE,marseille – aix – en – provence,2.0,BGC
81515,880674,MSC,17.183,MEK,18.333,False,MOVE,marseille – aix – en – provence,68.0,BGC
81516,EVM17.183MSC,MBC,16.85,MSC,16.933,True,MOVE,marseille – aix – en – provence,2.0,BGC
81516,880674,MSC,17.183,MEK,18.333,False,MOVE,marseille – aix – en – provence,68.0,BGC
81510,880171,AXP,17.383,MSC,18.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880168,MSC,17.383,AXP,18.133,False,MOVE,marseille – aix – en – provence,36.0,BGC
81511,880173,AXP,17.667,MSC,18.317,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880175,AXP,17.883,MSC,18.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880170,MSC,17.883,AXP,18.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,880172,MSC,18.183,AXP,18.85,False,MOVE,marseille – aix – en – provence,36.0,BGC
81517,EVM18.183MSC,MBC,17.85,MSC,17.933,True,MOVE,marseille – aix – en – provence,2.0,BGC
81517,880172,MSC,18.183,AXP,18.85,False,MOVE,marseille – aix – en – provence,36.0,BGC
81510,880678,MSC,18.383,MEK,19.6,False,MOVE,marseille – aix – en – provence,68.0,BGC
81507,880179,AXP,18.383,MSC,19.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81515,880677,MEK,18.55,AXP,19.067,False,MOVE,marseille – aix – en – provence,33.0,BGC
81508,880183,AXP,18.883,MSC,19.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880176,MSC,18.883,AXP,19.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,880185,AXP,19.383,MSC,20.117,False,MOVE,marseille – aix – en – provence,36.0,BGC
81510,880681,MEK,19.867,MSC,21.117,False,MOVE,marseille – aix – en – provence,68.0,BGC
81506,880189,AXP,19.883,MSC,20.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,880182,MSC,19.883,AXP,20.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81508,880182,MSC,19.883,AXP,20.617,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880186,MSC,20.883,AXP,21.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81509,EVI81509,MSC,20.367,MBC,20.45,True,MOVE,marseille – aix – en – provence,2.0,BGC
81509,EVO81509,MBC,21.55,MSC,21.633,True,MOVE,marseille – aix – en – provence,2.0,BGC
81509,880190,MSC,21.883,AXP,22.633,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,880197,AXP,22.0,MSC,22.7,False,MOVE,marseille – aix – en – provence,36.0,BGC
81507,EVI81507,AXP,20.867,AXG,20.95,True,MOVE,marseille – aix – en – provence,0.4,BGC
81507,EVO81507,AXG,21.667,AXP,21.75,True,MOVE,marseille – aix – en – provence,0.4,BGC
81507,880197,AXP,22.0,MSC,22.7,False,MOVE,marseille – aix – en – provence,36.0,BGC
81506,EVS22.7,MSC,22.95,MBC,23.032999999999998,True,MOVE,marseille – aix – en – provence,2.0,BGC
81507,EVS22.7,MSC,22.95,MBC,23.032999999999998,True,MOVE,marseille – aix – en – provence,2.0,BGC
81508,EVS20.617,AXP,20.867,AXG,20.95,True,MOVE,marseille – aix – en – provence,0.4,BGC
81509,EVS22.633,AXP,22.883,AXG,22.965999999999998,True,MOVE,marseille – aix – en – provence,0.4,BGC
81510,EVS21.117,MSC,21.367,MBC,21.45,True,MOVE,marseille – aix – en – provence,2.0,BGC
81511,EVS18.317,MSC,18.567,MBC,18.65,True,MOVE,marseille – aix – en – provence,2.0,BGC
81513,EVS7.85,AXP,8.1,AXG,8.183,True,MOVE,marseille – aix – en – provence,0.4,BGC
81514,EVS17.133,AXP,17.383,AXG,17.465999999999998,True,MOVE,marseille – aix – en – provence,0.4,BGC
81515,EVS19.067,AXP,19.317,AXG,19.4,True,MOVE,marseille – aix – en – provence,0.4,BGC
81517,EVS18.85,AXP,19.1,AXG,19.183,True,MOVE,marseille – aix – en – provence,0.4,BGC
81518,EVM6.133MSC,MBC,5.8,MSC,5.883,True,MOVE,marseille – aubagne,2.0,BGC
81518,881005,MSC,6.133,AUB,6.667,False,MOVE,marseille – aubagne,17.0,BGC
81519,EVM6.5MSC,MBC,6.167,MSC,6.25,True,MOVE,marseille – aubagne,2.0,BGC
81519,881799,MSC,6.5,AUB,7.0,True,MOVE,marseille – aubagne,17.0,BGC
81520,EVM6.633MSC,MBC,6.3,MSC,6.383,True,MOVE,marseille – aubagne,2.0,BGC
81520,881009,MSC,6.633,AUB,7.217,False,MOVE,marseille – aubagne,17.0,BGC
81521,881008,AUB,6.85,MSC,7.283,False,MOVE,marseille – aubagne,17.0,BGC
81522,EVM7.133MSC,MBC,6.8,MSC,6.883,True,MOVE,marseille – aubagne,2.0,BGC
81522,881013,MSC,7.133,AUB,7.667,False,MOVE,marseille – aubagne,17.0,BGC
81523,EVM7.133MSC,MBC,6.8,MSC,6.883,True,MOVE,marseille – aubagne,2.0,BGC
81523,881013,MSC,7.133,AUB,7.667,False,MOVE,marseille – aubagne,17.0,BGC
81518,881012,AUB,7.35,MSC,7.783,False,MOVE,marseille – aubagne,17.0,BGC
81519,881012,AUB,7.35,MSC,7.783,False,MOVE,marseille – aubagne,17.0,BGC
81521,881017,MSC,7.633,AUB,8.167,False,MOVE,marseille – aubagne,17.0,BGC
81520,881016,AUB,7.85,MSC,8.283,False,MOVE,marseille – aubagne,17.0,BGC
81518,881021,MSC,8.133,AUB,8.667,False,MOVE,marseille – aubagne,17.0,BGC
81519,881021,MSC,8.133,AUB,8.667,False,MOVE,marseille – aubagne,17.0,BGC
81522,881020,AUB,8.35,MSC,8.783,False,MOVE,marseille – aubagne,17.0,BGC
81520,881025,MSC,8.633,AUB,9.167,False,MOVE,marseille – aubagne,17.0,BGC
81521,881024,AUB,8.85,MSC,9.283,False,MOVE,marseille – aubagne,17.0,BGC
81523,881024,AUB,8.85,MSC,9.283,False,MOVE,marseille – aubagne,17.0,BGC
81522,881029,MSC,9.133,AUB,9.667,False,MOVE,marseille – aubagne,17.0,BGC
81518,881028,AUB,9.35,MSC,9.783,False,MOVE,marseille – aubagne,17.0,BGC
81521,881033,MSC,9.633,AUB,10.167,False,MOVE,marseille – aubagne,17.0,BGC
81519,881032,AUB,9.85,MSC,10.283,False,MOVE,marseille – aubagne,17.0,BGC
81520,881036,AUB,10.85,MSC,11.283,False,MOVE,marseille – aubagne,17.0,BGC
81518,EVI81518,MSC,10.033,MBC,10.116,True,MOVE,marseille – aubagne,2.0,BGC
81518,EVO81518,MBC,15.384,MSC,15.467,True,MOVE,marseille – aubagne,2.0,BGC
81518,881057,MSC,15.717,AUB,16.167,False,MOVE,marseille – aubagne,17.0,BGC
81519,EVI81519,MSC,10.533,MBC,10.616,True,MOVE,marseille – aubagne,2.0,BGC
81519,EVO81519,MBC,15.884,MSC,15.966999999999999,True,MOVE,marseille – aubagne,2.0,BGC
81519,881061,MSC,16.217,AUB,16.667,False,MOVE,marseille – aubagne,17.0,BGC
81521,881060,AUB,16.35,MSC,16.867,False,MOVE,marseille – aubagne,17.0,BGC
81520,EVI81520,MSC,11.533,MBC,11.616,True,MOVE,marseille – aubagne,2.0,BGC
81520,EVO81520,MBC,16.384,MSC,16.467,True,MOVE,marseille – aubagne,2.0,BGC
81520,881065,MSC,16.717,AUB,17.167,False,MOVE,marseille – aubagne,17.0,BGC
81518,881064,AUB,16.85,MSC,17.367,False,MOVE,marseille – aubagne,17.0,BGC
81521,881069,MSC,17.217,AUB,17.667,False,MOVE,marseille – aubagne,17.0,BGC
81519,881068,AUB,17.35,MSC,17.867,False,MOVE,marseille – aubagne,17.0,BGC
81518,881073,MSC,17.717,AUB,18.167,False,MOVE,marseille – aubagne,17.0,BGC
81523,EVI81523,MSC,9.533,MBC,9.616,True,MOVE,marseille – aubagne,2.0,BGC
81523,EVO81523,MBC,17.384,MSC,17.467,True,MOVE,marseille – aubagne,2.0,BGC
81523,881073,MSC,17.717,AUB,18.167,False,MOVE,marseille – aubagne,17.0,BGC
81520,881072,AUB,17.85,MSC,18.367,False,MOVE,marseille – aubagne,17.0,BGC
81522,881072,AUB,17.85,MSC,18.367,False,MOVE,marseille – aubagne,17.0,BGC
81519,881077,MSC,18.217,AUB,18.667,False,MOVE,marseille – aubagne,17.0,BGC
81521,881076,AUB,18.35,MSC,18.867,False,MOVE,marseille – aubagne,17.0,BGC
81520,881081,MSC,18.717,AUB,19.167,False,MOVE,marseille – aubagne,17.0,BGC
81522,881081,MSC,18.717,AUB,19.167,False,MOVE,marseille – aubagne,17.0,BGC
81518,881080,AUB,18.85,MSC,19.367,False,MOVE,marseille – aubagne,17.0,BGC
81523,881080,AUB,18.85,MSC,19.367,False,MOVE,marseille – aubagne,17.0,BGC
81519,881999,AUB,19.0,MBC,19.5,True,MOVE,marseille – aubagne,14.0,BGC
81520,881084,AUB,19.85,MSC,20.367,False,MOVE,marseille – aubagne,17.0,BGC
81518,EVS19.367,MSC,19.617,MBC,19.7,True,MOVE,marseille – aubagne,2.0,BGC
81520,EVS20.367,MSC,20.617,MBC,20.7,True,MOVE,marseille – aubagne,2.0,BGC
81521,EVS18.867,MSC,19.117,MBC,19.2,True,MOVE,marseille – aubagne,2.0,BGC
81523,EVS19.367,MSC,19.617,MBC,19.7,True,MOVE,marseille – aubagne,2.0,BGC
81524,EVM6.05MAS,MAG,5.717,MAS,5.8,True,MOVE,marseille – avignon – via – rognac,1.0,BGC
81524,879103,MAS,6.05,MSC,6.8,False,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,879102,MSC,7.3,MAS,7.85,False,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,999999,MAS,8.1,MSC,8.6,True,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,879106,MSC,9.667,MAS,10.383,False,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,EVI81524,MAS,10.633,MAG,10.716,True,MOVE,marseille – avignon – via – rognac,1.0,BGC
81524,EVO81524,MAG,17.084000000000003,MAS,17.167,True,MOVE,marseille – avignon – via – rognac,1.0,BGC
81524,879109,MAS,17.417,MSC,18.183,False,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,EVI81524,MSC,18.433,MBC,18.516,True,MOVE,marseille – avignon – via – rognac,2.0,BGC
81524,EVO81524,MBC,21.334000000000003,MSC,21.417,True,MOVE,marseille – avignon – via – rognac,2.0,BGC
81524,879110,MSC,21.667,MAS,22.433,False,MOVE,marseille – avignon – via – rognac,53.0,BGC
81524,EVS22.433,MAS,22.683,MAG,22.766,True,MOVE,marseille – avignon – via – rognac,1.0,BGC
23501,EVM5.5AVI,AVG,5.167,AVI,5.25,True,MOVE,marseille – avignon,2.0,2NPG
23501,879603,AVI,5.5,MSC,7.383,False,MOVE,marseille – avignon,104.0,2NPG
23502,EVM5.9AVI,AVG,5.567,AVI,5.65,True,MOVE,marseille – avignon,2.0,2NPG
23502,879503,AVI,5.9,MSC,7.133,False,MOVE,marseille – avignon,104.0,2NPG
23503,EVM5.983AVI,AVG,5.6499999999999995,AVI,5.733,True,MOVE,marseille – avignon,2.0,2NPG
23503,879607,AVI,5.983,MSC,7.783,False,MOVE,marseille – avignon,104.0,2NPG
23504,EVM6.317MAS,MAG,5.984,MAS,6.067,True,MOVE,marseille – avignon,1.0,2NPG
23504,879602,MAS,6.317,AVI,7.467,False,MOVE,marseille – avignon,68.0,2NPG
23505,EVM6.383MAS,MAG,6.05,MAS,6.133,True,MOVE,marseille – avignon,1.0,2NPG
23505,879582,MAS,6.383,AVI,7.083,False,MOVE,marseille – avignon,68.0,2NPG
23506,EVM6.467AVI,AVG,6.1339999999999995,AVI,6.217,True,MOVE,marseille – avignon,2.0,2NPG
23506,879611,AVI,6.467,MSC,8.317,False,MOVE,marseille – avignon,104.0,2NPG
